geo_country,geo_state,geo_place,name,type,county,lon,lat
United States,Vermont,Tunbridge,Tunbridge,populated place,Orange,-72.49121,43.8909
United States,South Carolina,Parris Island,Parris Island,island,Beaufort,-80.69233,32.3352
United States,Connecticut,Southington,Southington,populated place,Hartford,-72.8776,41.59649
United States,New Mexico,Trampas,Trampas,populated place,Taos,-105.75891,36.13114
United States,California,Shasta Dam,Shasta Dam,dam,Shasta,-122.41966,40.71827
United States,Montana,Quarter Circle U Ranch,Quarter Circle U Ranch,,Rosebud,-106.55504,45.29888
United States,Oregon,Malheur National Forest,Malheur National Forest,forest(s),Grant,-118.85774,44.24937
United States,Louisiana,Delacroix Island,Delacroix Island,island,St. Bernard,-89.78756,29.76965
United States,Alabama,Gees Bend,Boykin,populated place,Wilcox,-87.28138,32.07792
United States,Georgia,Fort Benning,Lawson AAF,airport,Chattahoochee,-84.99128,32.33732
United States,New Mexico,Moreno Valley,Moreno Valley,area,Colfax,-105.27223,36.53364
United States,Missouri,Saint Louis,St Louis,seat of a second-order administrative division,St. Louis City,-90.19789,38.62727
United States,Arkansas,Lake Dick,Lake Dick,populated place,Jefferson,-91.83874,34.25204
United States,Montana,Anaconda,Anaconda,seat of a second-order administrative division,Deer Lodge,-112.94226,46.12854
United States,Arizona,Eleven Mile Corner,Eleven Mile Corner,populated place,Pinal,-111.56707,32.87951
United States,Georgia,Daniel Field,Daniel Field Airport,airport,Richmond,-82.03928,33.46653
United States,Oregon,Dead Ox Flat,Lower Dead Ox Flat,plain(s),Malheur,-117.02045,44.23739
United States,West Virginia,Tygart Valley,Tygart Valley River,stream,Marion,-80.15313,39.465089999999996
United States,Tennessee,Fort Loudoun Dam,Fort Loudoun Dam,dam,Loudon,-84.24325,35.79202
United States,North Carolina,Belcross,Belcross,populated place,Camden,-76.15465,36.34793
United States,New Mexico,Mogollon,Mogollon Baldy Peak,mountain,Catron,-108.59478,33.27145
United States,Louisiana,Melrose,Melrose,populated place,Natchitoches,-92.9671,31.59878
United States,Maryland,Berwyn,Berwyn Heights,populated place,Prince Georges,-76.91053,38.994
United States,West Virginia,Kempton,Kempton Junction,populated place,Grant,-79.44616,39.21538
United States,North Carolina,Fort Bragg,Fort Bragg,populated place,Cumberland,-79.00603,35.139
United States,Mississippi,Mileston,Mileston,populated place,Holmes,-90.27342,33.1104
United States,Tennessee,Douglas Dam,Douglas Dam,dam,Sevier,-83.53855,35.96142
United States,West Virginia,Red House,Red House,populated place,Putnam,-81.8968,38.53926
United States,Tennessee,Watts Bar Dam,Watts Bar Dam Recreation Area,park,Meigs,-84.77772,35.62924
United States,West Virginia,Bertha Hill,Bertha Hill,populated place,Monongalia,-79.99229,39.66453
United States,West Virginia,Chaplin,Chaplin,populated place,Monongalia,-80.02845,39.65059
United States,Indiana,Fort Harrison,Fort Benjamin Harrison State Park and Nature Preserve,park,Marion,-86.01248,39.86254
United States,Virginia,Fort Story,Fort Story,military installation,Princess Anne (Ext),-76.01915,36.92525
United States,Minnesota,Little Fork,Little Fork River,stream,Koochiching,-93.58794,48.52745
United States,Missouri,La Forge,La Forge,populated place,New Madrid,-89.52563,36.67145
United States,Pennsylvania,Mauch Chunk,Jim Thorpe,seat of a second-order administrative division,Carbon,-75.73241,40.87592
United States,Florida,De Land,DeLand,seat of a second-order administrative division,Volusia,-81.30312,29.02832
United States,Florida,Escambia Farms,Escambia Farms,populated place,Okaloosa,-86.63301,30.95796
United States,California,Imperial Valley,In-Ko-Pah Gorge,valley,Imperial,-116.04001,32.72367
United States,West Virginia,Scotts Run,Scotts Run,populated place,Monongalia,-80.04883,39.66706
United States,Georgia,Irwinville,Irwinville,populated place,Irwin,-83.38266,31.64824
United States,Michigan,Willow Run,Willow Run Airport,airport,Wayne,-83.53021,42.23782
United States,Mississippi,Perthshire,Perthshire,populated place,Bolivar,-90.91233,33.97733
United States,Maryland,Ridge,Elkridge,populated place,Howard,-76.71358,39.21261
United States,California,Edwards Air Force Base,Edwards Air Force Base,airport,Kern,-117.89331,34.91537
United States,Kentucky,Lexington,Lexington,seat of a second-order administrative division,Fayette,-84.47772,37.98869
United States,Arizona,Agua Fria,Agua Fria National Monument,park,Yavapai,-112.07,34.19222
United States,Texas,Hoskins Mound,Hoskins Mound,mountain,Brazoria,-95.22771,29.13885
United States,West Virginia,Pursglove,Pursglove,populated place,Monongalia,-80.02618,39.66758
United States,Alabama,Wilson Dam,Wilson Dam,dam,Lauderdale,-87.62522,34.79788
United States,West Virginia,Jere,Jere,populated place,Monongalia,-80.03534,39.66703
United States,New York,Brooklyn,Brooklyn,seat of a second-order administrative division,Kings,-73.94958,40.6501
United States,Utah,Bingham Canyon,Bingham Canyon,populated place,Salt Lake,-112.13056,40.55833
United States,California,Wilmington,Wilmington,section of populated place,Los Angeles,-118.26257,33.78002
United States,Missouri,Osage Farms,Stickle Cattle Farms Airport,airport,Osage,-91.77699,38.31659
United States,Pennsylvania,Du Bois,Du Bois-Jefferson County Airport,airport,Jefferson,-78.89864,41.17812
United States,Puerto Rico,Rio Piedras,El Río Barrio,second-order administrative division,NA,-65.84327,18.23881
United States,Connecticut,Ledyard,Ledyard Center,populated place,New London,-72.01424,41.43982
United States,Virginia,Langley Field,Langley Field,airbase,Elizabeth City (Ext),-76.36055,37.08288
United States,Virginia,Little Creek,Little Wilson Creek Wilderness,reserve,Grayson,-81.46188,36.66027
United States,Vermont,Eden Mills,Eden Mills,populated place,Lamoille,-72.53011,44.71338
United States,New Hampshire,Turkey Pond,Turkey Pond,lake,Merrimack,-71.58454,43.1766
United States,Vermont,Barnard,Barnard,populated place,Windsor,-72.61899,43.72868
United States,Tennessee,Chickamauga Dam,Chickamauga Dam Day Use Area,park,Hamilton,-85.21996,35.09646
United States,Vermont,North Bridgewater,Bridgewater,populated place,Windsor,-72.6251,43.58812
United States,Louisiana,Olga,Olga,populated place,Plaquemines,-89.40283,29.34661
United States,Puerto Rico,Manati,Manatí,first-order administrative division,NA,-66.49267,18.41884
United States,Mississippi,Hopson Plantation,Hopson,populated place,Coahoma,-90.54649,34.15872
United States,West Virginia,Arthurdale,Arthurdale,populated place,Preston,-79.81506,39.49509
United States,Colorado,Creede,Creede,seat of a second-order administrative division,Mineral,-106.92643,37.84917
United States,Minnesota,Saint Paul,Saint Paul,seat of a first-order administrative division,Ramsey,-93.09327,44.94441
United States,New Mexico,Ojo Sarco,Ojo Sarco,populated place,Rio Arriba,-105.78335,36.12252
United States,Connecticut,Taftville,Taftville,populated place,New London,-72.0473,41.56982
United States,Louisiana,Thomastown,Thomastown,populated place,Madison,-91.06983,32.35737
United States,Alabama,Wheeler Dam,Wheeler Dam,dam,Lauderdale,-87.38188,34.80623
United States,California,New Idria,Idria,populated place,San Benito,-120.67434,36.4169
United States,West Virginia,Maidsville,Maidsville,populated place,Monongalia,-79.98006,39.68841
United States,Oregon,Willamette National Forest,Willamette National Forest Middlefork Ranger District,building(s),Lane,-122.53335,43.75864
United States,Tennessee,Norris Dam,Norris Dam State Park,park,Campbell,-84.11048,36.23841
United States,South Carolina,Whitestone,White Stone,populated place,Spartanburg,-81.81705,34.90291
United States,Vermont,Kirby,Town of Kirby,third-order administrative division,Caledonia,-71.91512,44.50284
United States,Idaho,Ola,Ola,populated place,Gem,-116.29264,44.17822
United States,Montana,Gravelly Range,Gravelly Range,mountains,Madison,-111.85692,45.08909
United States,California,Hollywood,Hollywood,section of populated place,Los Angeles,-118.32674,34.09834
United States,Mississippi,Rodney,Rodney,populated place,Jefferson,-91.19983,31.86127
United States,West Virginia,Institute,Institute,populated place,Kanawha,-81.76541,38.38371
United States,Montana,Bitterroot Valley,Bitterroot Valley,valley,Ravalli,-114.16,46.247
United States,Pennsylvania,Dresher,Dresher,populated place,Montgomery,-75.16684,40.14094
United States,Pennsylvania,Nanty Glo,Nanty Glo,populated place,Cambria,-78.83336,40.47229
United States,Louisiana,Pilottown,Pilottown,populated place,Plaquemines,-89.25665,29.18
United States,New York,Hoffman Island,Hoffman Island,island,Richmond,-74.05397,40.57883
United States,Tennessee,Cherokee Dam,Cherokee Dam,dam,Jefferson,-83.49792,36.16727
United States,Vermont,Sheldon Springs,Sheldon Springs,populated place,Franklin,-72.97763,44.90616
United States,West Virginia,Mohegan,Mohegan,populated place,Mcdowell,-81.63066,37.45317
United States,Minnesota,Orth,Orth,populated place,Itasca,-94.31523,47.83912
United States,Maryland,Worthington Valley,Worthington Valley,valley,Baltimore,-76.7772,39.49149
United States,Hawaii,Pearl Harbor,Pearl Harbor National Wildlife Refuge,wildlife reserve,Honolulu,-157.98211,21.38685
United States,Pennsylvania,Hinkletown,Hinkletown,populated place,Lancaster,-76.12162,40.14815
United States,Virgin Islands of the U.S.,French Village,Frenchtown,populated place,NA,-64.94209,18.33829
United States,Indiana,Wabash Farms,Toland Farms,farm,Adams,-84.98528,40.61722
