state_name,state_alpha,place,lon,lat
Alabama,AL,Abanda,-85.52526609977299,33.09262691764956
Alabama,AL,Abbeville,-85.2527640654771,31.566423388963457
Alabama,AL,Adamsville,-86.97467978778523,33.60633123093741
Alabama,AL,Addison,-87.17648832886607,34.201742417522524
Alabama,AL,Akron,-87.74287014105005,32.87853439154098
Alabama,AL,Alabaster,-86.82446382990699,33.21947683012074
Alabama,AL,Albertville,-86.21070417340795,34.2633974070135
Alabama,AL,Alexander City,-85.93974850904968,32.93030051487614
Alabama,AL,Alexandria,-85.8792425996826,33.76747748793456
Alabama,AL,Aliceville,-88.15938295766337,33.12366605386644
Alabama,AL,Allgood,-86.51781707887865,33.906391136455944
Alabama,AL,Altoona,-86.318073835826425,34.03098624533556
Alabama,AL,Andalusia,-86.47808332752602,31.310142890412973
Alabama,AL,Anderson,-87.27160325496334,34.914693743173586
Alabama,AL,Anniston,-85.81356921619759,33.671242835407206
Alabama,AL,Arab,-86.49909214805717,34.33095596714918
Alabama,AL,Ardmore,-86.83730848659448,34.98467439674515
Alabama,AL,Argo,-86.50511827456111,33.690168548976594
Alabama,AL,Ariton,-85.71279368050125,31.59799937700603
Alabama,AL,Arley,-87.2077503395816,34.088855208142384
Alabama,AL,Ashford,-85.23588933448498,31.18578351856585
Alabama,AL,Ashland,-85.83371446341826,33.27037675934194
Alabama,AL,Ashville,-86.2697602271399,33.833110202977295
Alabama,AL,Athens,-86.95096679084064,34.78470223926703
Alabama,AL,Atmore,-87.46344156204749,31.140246331958377
Alabama,AL,Attalla,-86.10399977500208,34.00477234264209
Alabama,AL,Auburn,-85.48774971840048,32.608975805284835
Alabama,AL,Autaugaville,-86.65785050464855,32.432036976349885
Alabama,AL,Avon,-85.28021131323138,31.179942299810328
Alabama,AL,Axis,-88.01794077285354,30.929617047323255
Alabama,AL,Babbie,-86.32291952554606,31.30221348088838
Alabama,AL,Baileyton,-86.6082186079624,34.26085322477449
Alabama,AL,Bakerhill,-85.29548922261024,31.77688987618383
Alabama,AL,Ballplay,-85.78526947031396,34.01786224151606
Alabama,AL,Banks,-85.83641150850532,31.813245164065364
Alabama,AL,Bay Minette,-87.77867284036856,30.879410240102498
Alabama,AL,Bayou La Batre,-88.26133573804795,30.413615960004623
Alabama,AL,Bear Creek,-87.71662658304898,34.26500335635744
Alabama,AL,Beatrice,-87.2089955410629,31.7332077228808
Alabama,AL,Beaverton,-88.0217725821443,33.935412942336114
Alabama,AL,Belgreen,-87.86530447419267,34.47668112330405
Alabama,AL,Belk,-87.92861434085745,33.65163874217637
Alabama,AL,Bellamy,-88.12768278541976,32.458177711155095
Alabama,AL,Belle Fontaine,-88.11310668039562,30.492047073070125
Alabama,AL,Benton,-86.81802062437563,32.30778227381956
Alabama,AL,Berlin,-86.74417721514794,34.18683547014693
Alabama,AL,Berry,-87.60789797525595,33.66228026922058
Alabama,AL,Bessemer,-86.97143043017041,33.37138931916493
Alabama,AL,Billingsley,-86.70867301916978,32.66098989480791
Alabama,AL,Birmingham,-86.7985086540156,33.52807326907371
Alabama,AL,Black,-85.74278522041254,31.010181973089843
Alabama,AL,Blountsville,-86.58674601290855,34.08138169433186
Alabama,AL,Blue Ridge,-86.18388485966487,32.50102161191556
Alabama,AL,Blue Springs,-85.50354261690639,31.66350832144916
Alabama,AL,Boaz,-86.15243614571858,34.19922071228427
Alabama,AL,Boligee,-88.02638565495273,32.76988443981788
Alabama,AL,Bon Air,-86.33186565428869,33.26207997894915
Alabama,AL,Bon Secour,-87.72713898494969,30.322236213147637
Alabama,AL,Boykin,-87.29143846283226,32.070127424632204
Alabama,AL,Brantley,-86.25691069223097,31.58224549236618
Alabama,AL,Brantleyville,-86.88202106292759,33.219568099331255
Alabama,AL,Brent,-87.17528922738359,32.9420557008863
Alabama,AL,Brewton,-87.07466611999166,31.117747649601192
Alabama,AL,Bridgeport,-85.72433777923236,34.94952490083651
Alabama,AL,Brighton,-86.94535297371817,33.43926932651183
Alabama,AL,Brilliant,-87.76943759772871,34.02513617360267
Alabama,AL,Bristow Cove,-86.24095834784114,34.10921228440036
Alabama,AL,Brook Highland,-86.68491162834349,33.435926598582576
Alabama,AL,Brookside,-86.9013658428993,33.63797891843772
Alabama,AL,Brookwood,-87.32759262772002,33.239759301554365
Alabama,AL,Broomtown,-85.53215870118177,34.365705952945184
Alabama,AL,Brundidge,-85.81774396008068,31.71824002939604
Alabama,AL,Bucks,-88.0249161806974,31.016979305067043
Alabama,AL,Butler,-88.21078437890036,32.09646796747933
Alabama,AL,Calera,-86.74505659509238,33.12511961081099
Alabama,AL,Calvert,-88.0169277333699,31.15396693854723
Alabama,AL,Camden,-87.29670545825351,32.00068995162579
Alabama,AL,Camp Hill,-85.6536482561916,32.800227766136764
Alabama,AL,Carbon Hill,-87.52419471669982,33.896227560255504
Alabama,AL,Cardiff,-86.93066085695446,33.647209685193275
Alabama,AL,Carlisle-Rockledge,-86.11909740109559,34.11403259757652
Alabama,AL,Carlton,-87.83779696770641,31.343029480950722
Alabama,AL,Carolina,-86.52267883123173,31.233706193415955
Alabama,AL,Carrollton,-88.09507846208861,33.26190893405769
