id,loc,call_num,a,b,c,d
2017798314,fsa2000029491/PP,LC-USF34-047902-D,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017798315,fsa2000029492/PP,LC-USF34-047903-D,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017798353,fsa2000029530/PP,LC-USF34-047941-D,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017798354,fsa2000029531/PP,LC-USF34-047942-D,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017797013,fsa2000028190/PP,LC-USF34-046601-D,Puerto Rico,Manati Municipality,NA,Manati
2017797072,fsa2000028249/PP,LC-USF34-046660-D,Puerto Rico,Corozal Municipality,NA,Corozal
2017797164,fsa2000028341/PP,LC-USF34-046752-D,Puerto Rico,Cayey Municipality,NA,Cayey
2017797172,fsa2000028349/PP,LC-USF34-046760-D,Puerto Rico,Cayey Municipality,NA,Cayey
2017798070,fsa2000029247/PP,LC-USF34-047658-D,Puerto Rico,Ponce Municipality,Guanica Bay,NA
2017798223,fsa2000029400/PP,LC-USF34-047811-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798226,fsa2000029403/PP,LC-USF34-047814-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798231,fsa2000029408/PP,LC-USF34-047819-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798232,fsa2000029409/PP,LC-USF34-047820-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798234,fsa2000029411/PP,LC-USF34-047822-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798250,fsa2000029427/PP,LC-USF34-047838-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798251,fsa2000029428/PP,LC-USF34-047839-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798257,fsa2000029434/PP,LC-USF34-047845-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798259,fsa2000029436/PP,LC-USF34-047847-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798277,fsa2000029454/PP,LC-USF34-047865-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798278,fsa2000029455/PP,LC-USF34-047866-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798279,fsa2000029456/PP,LC-USF34-047867-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798280,fsa2000029457/PP,LC-USF34-047868-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798281,fsa2000029458/PP,LC-USF34-047869-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798282,fsa2000029459/PP,LC-USF34-047870-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798289,fsa2000029466/PP,LC-USF34-047877-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798291,fsa2000029468/PP,LC-USF34-047879-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798292,fsa2000029469/PP,LC-USF34-047880-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798305,fsa2000029482/PP,LC-USF34-047893-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798306,fsa2000029483/PP,LC-USF34-047894-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798308,fsa2000029485/PP,LC-USF34-047896-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017798318,fsa2000029495/PP,LC-USF34-047906-D,Puerto Rico,Ponce Municipality,NA,Guanica
2017798445,fsa2000029622/PP,LC-USF34-048033-D,Puerto Rico,Humacao Municipality,NA,Camuy
2017798460,fsa2000029637/PP,LC-USF34-048048-D,Puerto Rico,Camuy Municipality,NA,Camuy
2017798934,fsa2000030111/PP,LC-USF34-048525-D,Puerto Rico,Ponce Municipality,NA,Ensenada
2017764471,fsa1998023122/PP,LC-USF34-012351-E,Puerto Rico,Aibonito Municipality,NA,La Plata
2017764477,fsa1998023128/PP,LC-USF34-012363-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764479,fsa1998023130/PP,LC-USF34-012365-E,Puerto Rico,Aibonito Municipality,NA,La Plata
2017764499,fsa1998023150/PP,LC-USF34-012393-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764502,fsa1998023153/PP,LC-USF34-012399-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764533,fsa1998023184/PP,LC-USF34-012442-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764534,fsa1998023185/PP,LC-USF34-012443-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764536,fsa1998023187/PP,LC-USF34-012447-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764538,fsa1998023189/PP,LC-USF34-012449-E,Puerto Rico,San Juan Municipality,NA,San Juan
