geo_country,geo_state,geo_city,n
United States,Vermont,Tunbridge,188
United States,Arkansas,Lake Dick,146
United States,Mississippi,Mileston,116
United States,West Virginia,Red House,108
United States,North Carolina,Belcross,99
United States,West Virginia,Chaplin,98
United States,West Virginia,Kempton,98
United States,Virginia,Fort Story,96
United States,Minnesota,Little Fork,91
United States,West Virginia,Bertha Hill,88
United States,Louisiana,Delacroix Island,86
United States,Mississippi,Perthshire,74
United States,West Virginia,Osage,72
United States,New Mexico,Mogollon,70
United States,West Virginia,Tygart Valley,68
United States,West Virginia,Caples,66
United States,West Virginia,Scotts Run,66
United States,Alabama,Gees Bend,65
United States,West Virginia,Jere,61
United States,Georgia,Irwinville,57
United States,Louisiana,Olga,56
United States,West Virginia,Arthurdale,54
United States,West Virginia,Pursglove,53
United States,Vermont,Fairfield,51
United States,West Virginia,Maidsville,50
United States,Vermont,North Bridgewater,46
United States,Arizona,Eleven Mile Corner,44
United States,Pennsylvania,Nanty Glo,40
United States,Vermont,Eden Mills,40
United States,Louisiana,Pilottown,39
United States,Pennsylvania,Westmoreland Homesteads,39
United States,Minnesota,Orth,38
United States,Virgin Islands of the U.S.,French Village,36
United States,Mississippi,Aldridge Plantation,35
United States,Oklahoma,Henrietta,35
United States,Tennessee,Ridgeley,35
United States,Connecticut,Taftville,31
United States,West Virginia,Mohegan,30
United States,West Virginia,Erwin,29
United States,Virginia,Newport News Homesteads,28
United States,West Virginia,Longacre,28
United States,Arkansas,Lehi,27
United States,New Jersey,Shellpile,27
United States,Vermont,Kirby,27
United States,Louisiana,St. Bernard,25
United States,Virgin Islands of the U.S.,Bethlehem,24
United States,Ohio,Linworth,23
United States,Louisiana,Grand Ecaille,22
United States,Connecticut,Berlin,20
United States,Maine,Long Pond,20
United States,Montana,St. Mary Lake,20
United States,New Hampshire,Franconia,20
United States,Maine,Soldier Pond,18
United States,South Carolina,Ashwood Plantation,18
United States,Iowa,Ringgold,17
United States,New Jersey,Bivalve,17
United States,New Jersey,Radburn,17
United States,North Carolina,Fort Bragg,17
United States,South Carolina,St. Helena Island,17
United States,Florida,Careyville,16
United States,Indiana,Decatur Homesteads,16
United States,Louisiana,Transylvania Project,16
United States,Mississippi,Hill House,16
United States,Rhode Island,Foster,16
United States,Louisiana,Burrwood,15
United States,Mississippi,Scott,15
United States,Connecticut,Ledyard,14
United States,New Hampshire,Warren,14
United States,Vermont,East Albany,14
United States,West Virginia,Davey,14
United States,Florida,Winterhaven,13
United States,Louisiana,Mix,13
United States,New York,Bear Mountain,13
United States,North Dakota,Wheelock,13
United States,South Carolina,Whitestone,13
United States,West Virginia,Marine,13
United States,Florida,Deerfield,12
United States,Illinois,Steritz,12
United States,Vermont,Bridgewater,12
United States,Vermont,Craftsbury,12
United States,Vermont,Dummerston,12
United States,Virginia,Corbin Hollow,12
United States,Virginia,Nethers,12
United States,Virginia,Picket's Landing,12
United States,Connecticut,Montville,11
United States,Montana,Logan Pass,11
United States,New Hampshire,Franconia Notch,11
United States,Texas,Sebastin,11
United States,Virgin Islands of the U.S.,La Vallee,11
United States,West Virginia,Twin Branch,11
United States,Missouri,La Forge,10
United States,Oregon,Celilo Falls,10
United States,Rhode Island,Slatersville,10
United States,Texas,Walking X Ranch,10
United States,Arkansas,Dyess Colony,9
